id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
137197,Altair,Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,,,,,,,Red,Table,14.5,18,1,4,5,4,161.3766899,2014,750
137198,"Altair, Sideral",Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,,,,,,,Red,Table,14.5,17,1,3,4,4,80.68834494,2016,750
137199,Baron du Val Red,Baron du Val,France,,,,,Carignan,Cinsault,Syrah & Shiraz,Grenache Noir,,,,,,,,,Red,Table,11.5,16,2,3,2,2,0,0,750
137200,Baron du Val White,Baron du Val,France,,,,,Carignan,Ugni​ blanc,Grenache Blanc,Picpoul,,,,,,,,,White,Table,11.5,10,1,3,2,1,0,0,750
137201,"Benziger, Cabernet Sauvignon",Benziger,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,18,1,3,3,4,0,2003,750
137202,"Calvet, Beaujolais Villages",Calvet,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12,14,2,4,2,2,0,2007,750
137203,"Calvet, Aetos",Calvet,France,Bordeaux,,,,Merlot,,,,,,,,,,,,Red,Table,13,18,1,3,4,3,0,2003,750
137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,17,1,3,2,3,15.40413858,2011,750
137205,"Calvet, Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Muscadet,,,,,,,,,,White,Table,11.5,10,1,4,2,1,15.40413858,2010,750
137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,2,3,13.93707776,2017,750
137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,13.93707776,2011,750
137209,"Calvet, Reserve Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Etc,,,,,,,,,,White,Table,11.5,10,1,4,2,1,20.53885144,2011,750
137210,"Calvet, Premieres Cotes de Bordeaux",Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13,11,2,4,3,1,13.20354735,2009,750
137211,"Calvet, Margaux",Calvet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,12.5,18,1,4,3,3,0,2004,750
137212,"Calvet, Medoc",Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,17,1,4,3,3,23.47297307,2015,750
137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,12.5,17,1,3,2,2,30.80827716,2010,750
137217,Tavernello Rosato Frizzante,Caviro scaForli,Italy,EmiliaRomagna,,,,Lambrusco,,,,,,,,,,,,Rose,Table,11,11,3,2,3,1,6.601773677,0,750
137218,Tavernello Bianco Fizzante,Caviro scaForli,Italy,EmiliaRomagna,,,,Etc,,,,,,,,,,,,White,Table,11,11,3,2,3,1,6.601773677,0,750
137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,3,4,4,183.3826021,2017,750
137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13.5,17,1,4,3,3,62.35008472,2013,750
137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,17,1,4,4,3,36.67652043,2006,750
137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,4,3,4,36.67652043,2017,750
137230,Chateau de Seguin Cuvee Prestige,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,4,4,3,0,2010,750
137231,Chateau de Seguin,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,3,4,4,0,2010,750
137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,4,4,4,102.6942572,2017,750
137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,17,1,3,4,3,58.68243268,2016,750
137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,4,4,5,88.02364902,2015,750
137238,La Chapelle de Bages,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,0,0,1,4,3,4,66.01773677,2006,750
137241,Chateau Bahans Haut Brion,Chateau HautBrion 1st Grand Cru Classe,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,0,0,1,3,4,5,198.0532103,2006,750
137242,Chateau La Gurgue,Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,17,1,4,4,4,95.35895311,2009,750
137248,Le Petit Mouton de Mouton Rothschild,Chateau Mouton Rothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,0,0,1,3,4,4,418.1123328,2015,750
137254,Chateau Tour de Loudenne,Chateau Tour de Loudenne,France,Bordeaux,Medoc,,,,,,,,,,,,,,,,Table,0,0,1,3,3,3,0,2002,750
137255,Chateau Tour de Saint Bonnet,Chateau Tour de Saint Bonnet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,0,0,1,3,4,3,33.00886838,2006,750
137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14.5,17,1,3,5,5,330.0886838,2013,750
137258,"Concha y Toro, Frontera Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,11.5,17,1,4,3,3,0,2018,750
137259,"Concha y Toro, Frontera Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,0,2017,750
137260,"Concha y Toro, Sunrise Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,16.13766899,2017,750
137261,"Concha y Toro, Sunrise Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,16.13766899,2018,750
137266,"Concha y Toro, Terrunyo Cabernet Sauvignon",Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,,,,,,,Red,Table,14.5,17,1,4,3,4,73.35304085,2015,750
137267,"Concha y Toro, Terrunyo Carmenere",Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14.5,17,1,3,4,4,73.35304085,2017,750
137268,"Carlo Rossi, Concord",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Concord,,,,,,,,,,,,Red,Dessert,11,11,4,1,2,1,11.00295613,0,750
137269,"Carlo Rossi, California Red",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Table,13,15,2,2,2,2,0,0,750
137272,"Carlo Rossi, Red Muscat",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Dessert,9.5,11,3,1,2,1,11.00295613,0,1500
137275,"Carlo Rossi, Califonia, White",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,White,"Table, Dessert",13,9,3,2,2,1,7.261951044,0,750
137277,Coastal Vineyard Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,17,1,3,4,3,0,2003,750
137278,Coastal Vineyard Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,13,11,1,3,2,1,0,2003,750
137279,"Gallo Family, Frei Ranch Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,18,1,3,4,3,0,2003,750
137280,Sierra Valley Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,3,2,1,0,2005,750
137281,RedWood Creek Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,17,1,3,4,3,0,2005,750
137282,RedWood Creek Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,3,3,1,0,2005,750
137283,RedWood Creek Merlot,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Merlot,,,,,,,,,,,,Red,Table,14,17,1,3,3,3,0,2005,750
137284,Sheffield Tawny port,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Fortified,Dessert,18,7,5,2,5,3,0,0,750
137285,Sycamore Canyon Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,17,1,4,3,3,0,2005,750
137287,Sycamore Canyon Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,14,11,1,3,3,1,0,2005,750
137288,Tott's Brut,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Sparkling,Appetizer,11.5,8,2,3,2,1,0,0,750
137289,Turning Leaf Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,18,1,3,3,2,0,2009,750
137290,Turning Leaf Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,11,1,2,2,1,0,2006,750
137291,Turning Leaf White Zinfandel,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Zinfandel,,,,,,,,,,,,Rose,"Appetizer, Table",9,11,2,2,2,1,0,2011,750
