id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
137197,Altair,Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,,,,,,,Red,Table,14.5,18,1,4,5,4,161.3766899,2014,750
137198,"Altair, Sideral",Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,,,,,,,Red,Table,14.5,17,1,3,4,4,80.68834494,2016,750
137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,17,1,3,2,3,15.40413858,2011,750
137205,"Calvet, Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Muscadet,,,,,,,,,,White,Table,11.5,10,1,4,2,1,15.40413858,2010,750
137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,2,3,13.93707776,2017,750
137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,13.93707776,2011,750
137209,"Calvet, Reserve Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Etc,,,,,,,,,,White,Table,11.5,10,1,4,2,1,20.53885144,2011,750
137210,"Calvet, Premieres Cotes de Bordeaux",Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13,11,2,4,3,1,13.20354735,2009,750
137212,"Calvet, Medoc",Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,17,1,4,3,3,23.47297307,2015,750
137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,12.5,17,1,3,2,2,30.80827716,2010,750
137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,3,4,4,183.3826021,2017,750
137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13.5,17,1,4,3,3,62.35008472,2013,750
137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,17,1,4,4,3,36.67652043,2006,750
137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,17,1,4,3,4,36.67652043,2017,750
137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,4,4,4,102.6942572,2017,750
137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,17,1,3,4,3,58.68243268,2016,750
137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13.5,17,1,4,4,5,88.02364902,2015,750
137242,Chateau La Gurgue,Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,17,1,4,4,4,95.35895311,2009,750
137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14.5,17,1,3,5,5,330.0886838,2013,750
137260,"Concha y Toro, Sunrise Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,16.13766899,2017,750
137261,"Concha y Toro, Sunrise Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13.5,17,1,3,3,3,16.13766899,2018,750
137266,"Concha y Toro, Terrunyo Cabernet Sauvignon",Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,,,,,,,Red,Table,14.5,17,1,4,3,4,73.35304085,2015,750
137267,"Concha y Toro, Terrunyo Carmenere",Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14.5,17,1,3,4,4,73.35304085,2017,750
137295,"Frei Brothers, Cabernet Sauvignon",Frei Brothers,USA,California,Sonoma County,Alexander Valley,,Cabernet Sauvignon,Petite Sirah,Merlot,,,,,,,,,,Red,Table,14.5,17,1,3,5,5,40.34417247,2018,750
137296,"Frei Brothers, Chardonnay ",Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",13.5,11,1,4,2,1,40.34417247,2018,750
137297,"Frei Brothers, Pinot Noir",Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,14.5,16,1,4,3,3,43.2782941,2018,750
137298,"Gallo Family, Sonoma Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,3,4,4,51.3471286,2005,750
137300,"Gallo Family, Sonoma Merlot",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,13.9,18,1,3,4,3,51.3471286,2007,750
137301,"Gallo Family, Sonoma Pinot Noir",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Pinot Noir,Zinfandel,,,,,,,,,,,Red,Table,14,17,1,3,3,2,51.3471286,2006,750
137305,Ginestet Bordeaux de Ginestet Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,17,1,4,3,3,16.50443419,2006,750
137306,Ginestet Bordeaux Reserve Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,23.47297307,2008,750
137307,Ginestet Bordeaux Blanc,Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,,,,,,,White,Table,12,11,1,4,2,1,17.6047298,2010,750
137309,Mascaron Bordeaux Blanc,Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,,,,,,,White,Table,12.5,11,1,3,2,1,26.40709471,2008,750
137310,Mascaron Bordeaux rouge,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,17,1,3,3,3,26.40709471,2007,750
137314,Ginestet Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,24.94003389,2007,750
137316,Mascaron Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,17,1,4,3,3,33.00886838,2008,750
137317,"Noble, Medoc",Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,12.5,16.5,1,3,3,3,19.07179062,2017,750
137318,Chateau Haut Bages Liberal,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,17,1,4,4,4,71.88598003,2017,750
137319,Ginestet Saint Emilion,Maison Ginestet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,33.00886838,2008,750
137320,Mascaron Puisseguin Saint Emilion,Maison Ginestet,France,Bordeaux,PuisseguinSaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,33.00886838,2009,750
137322,Ginestet Sauternes,Maison Ginestet,France,Bordeaux,Sauternes,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13.5,6.5,5,3,2,1,45.47888533,2010,750
137323,"Ginestet, Selection Cabernet Sauvignon",Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,11.5,17,1,4,2,3,12.47001694,2010,750
137324,Ginestet Selection Merlot,Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,11.5,17,1,3,3,3,12.47001694,2010,750
137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",Jean Luc Colombo,France,Rhone,ChateauneufduPape,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13,17,1,4,5,4,139.3707776,2011,750
137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",Jean Luc Colombo,France,Rhone,Cornas,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,17.5,1,4,4,4,190.7179062,2009,750
137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,28.60768593,2013,750
137334,Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Clairette,Rousaanne,,,,,,,,,,,White,Table,13,11,1,3,4,1,28.60768593,2014,750
137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,12.5,17,1,3,3,3,29.34121634,2018,750
137340,"Jean Moreau & Fils, Chablis",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",12.5,10,1,4,2,1,36.67652043,2006,750
137341,"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,13,11,1,5,3,1,110.0295613,2017,750
137342,"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,13,11,1,5,3,1,66.01773677,2017,750
137343,"Jean Moreau & Fils, Sancerre",Jean Moreau  Fils,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,,,,,,,White,"Appetizer, Table",12.5,10,1,5,2,1,41.81123328,2004,750
137344,Jordan Cabernet Sauvignon,Jordan Vineyard  Winery,USA,California,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.8,17,1,4,4,4,132.0354735,2012,750
137345,Jordan Chardonnay,Jordan Vineyard  Winery,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,,,,,,,White,Table,13.7,11,1,3,4,1,95.35895311,2014,750
137346,"Blue Nun, Cabernet Sauvignon",Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Dessert,13.5,17,3,2,3,2,13.93707776,2017,750
